Date,Date (Days),Date (Years),Date Part (Years),Episode Title,Full Title,Movies or Series,Season,Title,Title + Season,Type,Type (group),avg titles per year,Documentary,Hours/Day,Length,Movie,Number of Records,Series
3/1/2014,"March 1, 2014",2014,2014,Our Mrs. Reynolds,Firefly: Season 1: Our Mrs. Reynolds,True,Season 1,Firefly,FireflySeason 1,Series,Series,1,,0.833333333,50,,1,1
3/7/2014,"March 7, 2014",2014,2014,Ariel,Firefly: Season 1: Ariel,True,Season 1,Firefly,FireflySeason 1,Series,Series,1,,0.833333333,50,,1,1
3/7/2014,"March 7, 2014",2014,2014,Jaynestown,Firefly: Season 1: Jaynestown,True,Season 1,Firefly,FireflySeason 1,Series,Series,1,,0.833333333,50,,1,1
3/7/2014,"March 7, 2014",2014,2014,Out of Gas,Firefly: Season 1: Out of Gas,True,Season 1,Firefly,FireflySeason 1,Series,Series,1,,0.833333333,50,,1,1
3/8/2014,"March 8, 2014",2014,2014,War Stories,Firefly: Season 1: War Stories,True,Season 1,Firefly,FireflySeason 1,Series,Series,1,,0.833333333,50,,1,1
3/9/2014,"March 9, 2014",2014,2014,Trash,Firefly: Season 1: Trash,True,Season 1,Firefly,FireflySeason 1,Series,Series,1,,0.833333333,50,,1,1
3/10/2014,"March 10, 2014",2014,2014,The Message,Firefly: Season 1: The Message,True,Season 1,Firefly,FireflySeason 1,Series,Series,1,,0.833333333,50,,1,1
3/16/2014,"March 16, 2014",2014,2014,Heart of Gold,Firefly: Season 1: Heart of Gold,True,Season 1,Firefly,FireflySeason 1,Series,Series,1,,0.833333333,50,,1,1
3/17/2014,"March 17, 2014",2014,2014,Objects in Space,Firefly: Season 1: Objects in Space,True,Season 1,Firefly,FireflySeason 1,Series,Series,1,,0.833333333,50,,1,1
3/17/2014,"March 17, 2014",2014,2014,,21 Jump Street,False,,21 Jump Street,,Movie,Movies,1,,1.833333333,110,1,1,
3/20/2014,"March 20, 2014",2014,2014,,Serenity,False,,Serenity,,Movie,Movies,1,,1.983333333,119,1,1,
3/31/2014,"March 31, 2014",2014,2014,Blood Runs Thick,From Dusk Till Dawn: Season 1: Blood Runs Thick,True,Season 1,From Dusk Till Dawn,From Dusk Till DawnSeason 1,Series,Series,1,,0.833333333,50,,1,1
4/1/2014,"April 1, 2014",2014,2014,Mistress,From Dusk Till Dawn: Season 1: Mistress,True,Season 1,From Dusk Till Dawn,From Dusk Till DawnSeason 1,Series,Series,1,,0.833333333,50,,1,1
4/2/2014,"April 2, 2014",2014,2014,Serenity,Firefly: Season 1: Serenity,True,Season 1,Firefly,FireflySeason 1,Series,Series,1,,0.833333333,50,,1,1
4/5/2014,"April 5, 2014",2014,2014,Let's Get Ramblin',From Dusk Till Dawn: Season 1: Let's Get Ramblin',True,Season 1,From Dusk Till Dawn,From Dusk Till DawnSeason 1,Series,Series,1,,0.833333333,50,,1,1
4/11/2014,"April 11, 2014",2014,2014,Self-Contained,From Dusk Till Dawn: Season 1: Self-Contained,True,Season 1,From Dusk Till Dawn,From Dusk Till DawnSeason 1,Series,Series,1,,0.833333333,50,,1,1
4/12/2014,"April 12, 2014",2014,2014,Pilot,American Horror Story: Murder House: Pilot,True,Murder House,American Horror Story,American Horror StoryMurder House,Series,Series,1,,0.75,45,,1,1
4/12/2014,"April 12, 2014",2014,2014,,Sin City,False,,Sin City,,Movie,Movies,1,,2.066666667,124,1,1,
4/13/2014,"April 13, 2014",2014,2014,,Avengers Assemble,False,,Avengers Assemble,,Movie,Movies,1,,2.383333333,143,1,1,
4/15/2014,"April 15, 2014",2014,2014,Home Invasion,American Horror Story: Murder House: Home Invasion,True,Murder House,American Horror Story,American Horror StoryMurder House,Series,Series,1,,0.75,45,,1,1
4/16/2014,"April 16, 2014",2014,2014,Murder House,American Horror Story: Murder House: Murder House,True,Murder House,American Horror Story,American Horror StoryMurder House,Series,Series,1,,0.75,45,,1,1
4/21/2014,"April 21, 2014",2014,2014,Halloween Part 1,American Horror Story: Murder House: Halloween Part 1,True,Murder House,American Horror Story,American Horror StoryMurder House,Series,Series,1,,0.75,45,,1,1
4/22/2014,"April 22, 2014",2014,2014,Halloween Part 2,American Horror Story: Murder House: Halloween Part 2,True,Murder House,American Horror Story,American Horror StoryMurder House,Series,Series,1,,0.75,45,,1,1
4/23/2014,"April 23, 2014",2014,2014,Piggy Piggy,American Horror Story: Murder House: Piggy Piggy,True,Murder House,American Horror Story,American Horror StoryMurder House,Series,Series,1,,0.75,45,,1,1
4/24/2014,"April 24, 2014",2014,2014,Open House,American Horror Story: Murder House: Open House,True,Murder House,American Horror Story,American Horror StoryMurder House,Series,Series,1,,0.75,45,,1,1
4/24/2014,"April 24, 2014",2014,2014,Rubber Man,American Horror Story: Murder House: Rubber Man,True,Murder House,American Horror Story,American Horror StoryMurder House,Series,Series,1,,0.75,45,,1,1
4/25/2014,"April 25, 2014",2014,2014,Spooky Little Girl,American Horror Story: Murder House: Spooky Little Girl,True,Murder House,American Horror Story,American Horror StoryMurder House,Series,Series,1,,0.75,45,,1,1
4/25/2014,"April 25, 2014",2014,2014,Pilot,From Dusk Till Dawn: Season 1: Pilot,True,Season 1,From Dusk Till Dawn,From Dusk Till DawnSeason 1,Series,Series,1,,0.833333333,50,,1,1
4/26/2014,"April 26, 2014",2014,2014,Birth,American Horror Story: Murder House: Birth,True,Murder House,American Horror Story,American Horror StoryMurder House,Series,Series,1,,0.75,45,,1,1
4/26/2014,"April 26, 2014",2014,2014,Smoldering Children,American Horror Story: Murder House: Smoldering Children,True,Murder House,American Horror Story,American Horror StoryMurder House,Series,Series,1,,0.75,45,,1,1
4/27/2014,"April 27, 2014",2014,2014,Afterbirth,American Horror Story: Murder House: Afterbirth,True,Murder House,American Horror Story,American Horror StoryMurder House,Series,Series,1,,0.75,45,,1,1
5/14/2014,"May 14, 2014",2014,2014,La Conquista,From Dusk Till Dawn: Season 1: La Conquista,True,Season 1,From Dusk Till Dawn,From Dusk Till DawnSeason 1,Series,Series,1,,0.833333333,50,,1,1
5/14/2014,"May 14, 2014",2014,2014,Pandemonium,From Dusk Till Dawn: Season 1: Pandemonium,True,Season 1,From Dusk Till Dawn,From Dusk Till DawnSeason 1,Series,Series,1,,0.833333333,50,,1,1
5/14/2014,"May 14, 2014",2014,2014,Place of Dead Roads,From Dusk Till Dawn: Season 1: Place of Dead Roads,True,Season 1,From Dusk Till Dawn,From Dusk Till DawnSeason 1,Series,Series,1,,0.833333333,50,,1,1
5/15/2014,"May 15, 2014",2014,2014,Boxman,From Dusk Till Dawn: Season 1: Boxman,True,Season 1,From Dusk Till Dawn,From Dusk Till DawnSeason 1,Series,Series,1,,0.833333333,50,,1,1
5/26/2014,"May 26, 2014",2014,2014,The Take,From Dusk Till Dawn: Season 1: The Take,True,Season 1,From Dusk Till Dawn,From Dusk Till DawnSeason 1,Series,Series,1,,0.833333333,50,,1,1
8/1/2014,"August 1, 2014",2014,2014,,You're Next,False,,You're Next,,Movie,Movies,1,,1.566666667,94,1,1,
8/2/2014,"August 2, 2014",2014,2014,,Identity,False,,Identity,,Movie,Movies,1,,1.5,90,1,1,
11/13/2014,"November 13, 2014",2014,2014,,Video Games: The Movie,False,,Video Games: The Movie,,Movie,Movies,1,,1.5,90,1,1,
1/10/2015,"January 10, 2015",2015,2015,,A Bug's Life,False,,A Bug's Life,,Movie,Movies,1,,1.583333333,95,1,1,
2/9/2015,"February 9, 2015",2015,2015,The One Where Monica Gets a Roommate (Pilot),Friends: Season 1: The One Where Monica Gets a Roommate (Pilot),True,Season 1,Friends,FriendsSeason 1,Series,Series,1,,0.366666667,22,,1,1
2/9/2015,"February 9, 2015",2015,2015,The One with the Sonogram at the End,Friends: Season 1: The One with the Sonogram at the End,True,Season 1,Friends,FriendsSeason 1,Series,Series,1,,0.366666667,22,,1,1
2/9/2015,"February 9, 2015",2015,2015,The One with the Thumb,Friends: Season 1: The One with the Thumb,True,Season 1,Friends,FriendsSeason 1,Series,Series,1,,0.366666667,22,,1,1
2/10/2015,"February 10, 2015",2015,2015,The One Where Nana Dies Twice,Friends: Season 1: The One Where Nana Dies Twice,True,Season 1,Friends,FriendsSeason 1,Series,Series,1,,0.366666667,22,,1,1
2/10/2015,"February 10, 2015",2015,2015,The One with the Dozen Lasagnas,Friends: Season 1: The One with the Dozen Lasagnas,True,Season 1,Friends,FriendsSeason 1,Series,Series,1,,0.366666667,22,,1,1
2/10/2015,"February 10, 2015",2015,2015,The One with the Monkey,Friends: Season 1: The One with the Monkey,True,Season 1,Friends,FriendsSeason 1,Series,Series,1,,0.366666667,22,,1,1
2/14/2015,"February 14, 2015",2015,2015,The One with George Stephanopoulos,Friends: Season 1: The One with George Stephanopoulos,True,Season 1,Friends,FriendsSeason 1,Series,Series,1,,0.366666667,22,,1,1
2/15/2015,"February 15, 2015",2015,2015,The One with the Blackout,Friends: Season 1: The One with the Blackout,True,Season 1,Friends,FriendsSeason 1,Series,Series,1,,0.366666667,22,,1,1
2/17/2015,"February 17, 2015",2015,2015,The One with the Candy Hearts,Friends: Season 1: The One with the Candy Hearts,True,Season 1,Friends,FriendsSeason 1,Series,Series,1,,0.366666667,22,,1,1
2/17/2015,"February 17, 2015",2015,2015,The One with the Stoned Guy,Friends: Season 1: The One with the Stoned Guy,True,Season 1,Friends,FriendsSeason 1,Series,Series,1,,0.366666667,22,,1,1
2/18/2015,"February 18, 2015",2015,2015,The One with the Two Parts,Friends: Season 1: The One with the Two Parts: Part 1,True,Season 1,Friends,FriendsSeason 1,Series,Series,1,,0.366666667,22,,1,1
2/18/2015,"February 18, 2015",2015,2015,The One with the Breast Milk,Friends: Season 2: The One with the Breast Milk,True,Season 2,Friends,FriendsSeason 2,Series,Series,1,,0.366666667,22,,1,1
2/19/2015,"February 19, 2015",2015,2015,The One with the Butt,Friends: Season 1: The One with the Butt,True,Season 1,Friends,FriendsSeason 1,Series,Series,1,,0.366666667,22,,1,1
2/19/2015,"February 19, 2015",2015,2015,The One with the East German Laundry Detergent,Friends: Season 1: The One with the East German Laundry Detergent,True,Season 1,Friends,FriendsSeason 1,Series,Series,1,,0.366666667,22,,1,1
2/20/2015,"February 20, 2015",2015,2015,The One After the Super Bowl,Friends: Season 2: The One After the Super Bowl: Part 1,True,Season 2,Friends,FriendsSeason 2,Series,Series,1,,0.366666667,22,,1,1
2/20/2015,"February 20, 2015",2015,2015,The One Where Ross and Rachel...You Know,Friends: Season 2: The One Where Ross and Rachel...You Know,True,Season 2,Friends,FriendsSeason 2,Series,Series,1,,0.366666667,22,,1,1
2/20/2015,"February 20, 2015",2015,2015,The One with Phoebe's Husband,Friends: Season 2: The One with Phoebe's Husband,True,Season 2,Friends,FriendsSeason 2,Series,Series,1,,0.366666667,22,,1,1
2/20/2015,"February 20, 2015",2015,2015,The One with the Lesbian Wedding,Friends: Season 2: The One with the Lesbian Wedding,True,Season 2,Friends,FriendsSeason 2,Series,Series,1,,0.366666667,22,,1,1
2/20/2015,"February 20, 2015",2015,2015,,Trollhunter,False,,Trollhunter,,Movie,Movies,1,,1.733333333,104,1,1,
2/23/2015,"February 23, 2015",2015,2015,The One Where Joey Moves Out,Friends: Season 2: The One Where Joey Moves Out,True,Season 2,Friends,FriendsSeason 2,Series,Series,1,,0.366666667,22,,1,1
2/23/2015,"February 23, 2015",2015,2015,The One with the Chicken Pox,Friends: Season 2: The One with the Chicken Pox,True,Season 2,Friends,FriendsSeason 2,Series,Series,1,,0.366666667,22,,1,1
2/24/2015,"February 24, 2015",2015,2015,The One with Barry and Mindy's Wedding,Friends: Season 2: The One with Barry and Mindy's Wedding,True,Season 2,Friends,FriendsSeason 2,Series,Series,1,,0.366666667,22,,1,1
2/24/2015,"February 24, 2015",2015,2015,The One with the Race Car Bed,Friends: Season 3: The One with the Race Car Bed,True,Season 3,Friends,FriendsSeason 3,Series,Series,1,,0.366666667,22,,1,1
2/25/2015,"February 25, 2015",2015,2015,The One Where Monica & Richard Are Just Friends,Friends: Season 3: The One Where Monica & Richard Are Just Friends,True,Season 3,Friends,FriendsSeason 3,Series,Series,1,,0.366666667,22,,1,1
2/25/2015,"February 25, 2015",2015,2015,The One Where Rachel Quits,Friends: Season 3: The One Where Rachel Quits,True,Season 3,Friends,FriendsSeason 3,Series,Series,1,,0.366666667,22,,1,1
2/25/2015,"February 25, 2015",2015,2015,The One with All the Jealousy,Friends: Season 3: The One with All the Jealousy,True,Season 3,Friends,FriendsSeason 3,Series,Series,1,,0.366666667,22,,1,1
2/25/2015,"February 25, 2015",2015,2015,The One with the Giant Poking Device,Friends: Season 3: The One with the Giant Poking Device,True,Season 3,Friends,FriendsSeason 3,Series,Series,1,,0.366666667,22,,1,1
2/25/2015,"February 25, 2015",2015,2015,The One Where Dr. Ramoray Dies,Friends: Season 2: The One Where Dr. Ramoray Dies,True,Season 2,Friends,FriendsSeason 2,Series,Series,1,,0.366666667,22,,1,1
2/25/2015,"February 25, 2015",2015,2015,The One Where Eddie Won't Go,Friends: Season 2: The One Where Eddie Won't Go,True,Season 2,Friends,FriendsSeason 2,Series,Series,1,,0.366666667,22,,1,1
2/26/2015,"February 26, 2015",2015,2015,The One with the Dollhouse,Friends: Season 3: The One with the Dollhouse,True,Season 3,Friends,FriendsSeason 3,Series,Series,1,,0.366666667,22,,1,1
2/26/2015,"February 26, 2015",2015,2015,The One with the Ultimate Fighting Champion,Friends: Season 3: The One with the Ultimate Fighting Champion,True,Season 3,Friends,FriendsSeason 3,Series,Series,1,,0.366666667,22,,1,1
2/26/2015,"February 26, 2015",2015,2015,The One at the Beach,Friends: Season 3: The One at the Beach,True,Season 3,Friends,FriendsSeason 3,Series,Series,1,,0.366666667,22,,1,1
2/26/2015,"February 26, 2015",2015,2015,The One Where Heckles Dies,Friends: Season 2: The One Where Heckles Dies,True,Season 2,Friends,FriendsSeason 2,Series,Series,1,,0.366666667,22,,1,1
2/26/2015,"February 26, 2015",2015,2015,The One Where Eddie Moves In,Friends: Season 2: The One Where Eddie Moves In,True,Season 2,Friends,FriendsSeason 2,Series,Series,1,,0.366666667,22,,1,1
2/27/2015,"February 27, 2015",2015,2015,The One Where They're Going to Party,Friends: Season 4: The One Where They're Going to Party,True,Season 4,Friends,FriendsSeason 4,Series,Series,1,,0.366666667,22,,1,1
2/27/2015,"February 27, 2015",2015,2015,The One with Rachel's Crush,Friends: Season 4: The One with Rachel's Crush,True,Season 4,Friends,FriendsSeason 4,Series,Series,1,,0.366666667,22,,1,1
2/27/2015,"February 27, 2015",2015,2015,The One with the 'Cuffs,Friends: Season 4: The One with the 'Cuffs,True,Season 4,Friends,FriendsSeason 4,Series,Series,1,,0.366666667,22,,1,1
2/27/2015,"February 27, 2015",2015,2015,The One with the Girl from Poughkeepsie,Friends: Season 4: The One with the Girl from Poughkeepsie,True,Season 4,Friends,FriendsSeason 4,Series,Series,1,,0.366666667,22,,1,1
2/27/2015,"February 27, 2015",2015,2015,The One with All the Resolutions,Friends: Season 5: The One with All the Resolutions,True,Season 5,Friends,FriendsSeason 5,Series,Series,1,,0.366666667,22,,1,1
3/2/2015,"March 2, 2015",2015,2015,The One with Chandler's Work Laugh,Friends: Season 5: The One with Chandler's Work Laugh,True,Season 5,Friends,FriendsSeason 5,Series,Series,1,,0.366666667,22,,1,1
3/3/2015,"March 3, 2015",2015,2015,The One with the Cop,Friends: Season 5: The One with the Cop,True,Season 5,Friends,FriendsSeason 5,Series,Series,1,,0.366666667,22,,1,1
3/3/2015,"March 3, 2015",2015,2015,The One with the Girl Who Hits Joey,Friends: Season 5: The One with the Girl Who Hits Joey,True,Season 5,Friends,FriendsSeason 5,Series,Series,1,,0.366666667,22,,1,1
3/4/2015,"March 4, 2015",2015,2015,The One with Rachel's Inadvertent Kiss,Friends: Season 5: The One with Rachel's Inadvertent Kiss,True,Season 5,Friends,FriendsSeason 5,Series,Series,1,,0.366666667,22,,1,1
3/4/2015,"March 4, 2015",2015,2015,The One After Vegas,Friends: Season 6: The One After Vegas,True,Season 6,Friends,FriendsSeason 6,Series,Series,1,,0.366666667,22,,1,1
3/4/2015,"March 4, 2015",2015,2015,The One with the Ball,Friends: Season 5: The One with the Ball,True,Season 5,Friends,FriendsSeason 5,Series,Series,1,,0.366666667,22,,1,1
3/11/2015,"March 11, 2015",2015,2015,The One Where Ross Hugs Rachel,Friends: Season 6: The One Where Ross Hugs Rachel,True,Season 6,Friends,FriendsSeason 6,Series,Series,1,,0.366666667,22,,1,1
3/12/2015,"March 12, 2015",2015,2015,The One Where Joey Loses His Insurance,Friends: Season 6: The One Where Joey Loses His Insurance,True,Season 6,Friends,FriendsSeason 6,Series,Series,1,,0.366666667,22,,1,1
3/12/2015,"March 12, 2015",2015,2015,The One with Joey's Porsche,Friends: Season 6: The One with Joey's Porsche,True,Season 6,Friends,FriendsSeason 6,Series,Series,1,,0.366666667,22,,1,1
3/12/2015,"March 12, 2015",2015,2015,The One with Ross's Denial,Friends: Season 6: The One with Ross's Denial,True,Season 6,Friends,FriendsSeason 6,Series,Series,1,,0.366666667,22,,1,1
3/13/2015,"March 13, 2015",2015,2015,The One Where Phoebe Runs,Friends: Season 6: The One Where Phoebe Runs,True,Season 6,Friends,FriendsSeason 6,Series,Series,1,,0.366666667,22,,1,1
3/14/2015,"March 14, 2015",2015,2015,The One Where Ross Got High,Friends: Season 6: The One Where Ross Got High,True,Season 6,Friends,FriendsSeason 6,Series,Series,1,,0.366666667,22,,1,1
3/14/2015,"March 14, 2015",2015,2015,The One with Ross's Teeth,Friends: Season 6: The One with Ross's Teeth,True,Season 6,Friends,FriendsSeason 6,Series,Series,1,,0.366666667,22,,1,1
3/14/2015,"March 14, 2015",2015,2015,The One with the Routine,Friends: Season 6: The One with the Routine,True,Season 6,Friends,FriendsSeason 6,Series,Series,1,,0.366666667,22,,1,1
3/15/2015,"March 15, 2015",2015,2015,The One Where Ross Dates a Student,Friends: Season 6: The One Where Ross Dates a Student,True,Season 6,Friends,FriendsSeason 6,Series,Series,1,,0.366666667,22,,1,1
3/15/2015,"March 15, 2015",2015,2015,The One with Joey's Fridge,Friends: Season 6: The One with Joey's Fridge,True,Season 6,Friends,FriendsSeason 6,Series,Series,1,,0.366666667,22,,1,1
3/15/2015,"March 15, 2015",2015,2015,The One with Mac and C.H.E.E.S.E,Friends: Season 6: The One with Mac and C.H.E.E.S.E,True,Season 6,Friends,FriendsSeason 6,Series,Series,1,,0.366666667,22,,1,1
3/15/2015,"March 15, 2015",2015,2015,The One with the Apothecary Table,Friends: Season 6: The One with the Apothecary Table,True,Season 6,Friends,FriendsSeason 6,Series,Series,1,,0.366666667,22,,1,1
3/15/2015,"March 15, 2015",2015,2015,The One with the Proposal,Friends: Season 6: The One with the Proposal: Part 1,True,Season 6,Friends,FriendsSeason 6,Series,Series,1,,0.366666667,22,,1,1
3/15/2015,"March 15, 2015",2015,2015,The One with the Proposal,Friends: Season 6: The One with the Proposal: Part 2,True,Season 6,Friends,FriendsSeason 6,Series,Series,1,,0.366666667,22,,1,1
3/15/2015,"March 15, 2015",2015,2015,The One with Unagi,Friends: Season 6: The One with Unagi,True,Season 6,Friends,FriendsSeason 6,Series,Series,1,,0.366666667,22,,1,1
3/15/2015,"March 15, 2015",2015,2015,The One with Monica's Thunder,Friends: Season 7: The One with Monica's Thunder,True,Season 7,Friends,FriendsSeason 7,Series,Series,1,,0.366666667,22,,1,1
3/16/2015,"March 16, 2015",2015,2015,The One with All the Cheesecakes,Friends: Season 7: The One with All the Cheesecakes,True,Season 7,Friends,FriendsSeason 7,Series,Series,1,,0.366666667,22,,1,1
3/16/2015,"March 16, 2015",2015,2015,The One with the Engagement Picture,Friends: Season 7: The One with the Engagement Picture,True,Season 7,Friends,FriendsSeason 7,Series,Series,1,,0.366666667,22,,1,1
3/16/2015,"March 16, 2015",2015,2015,The One with the Nap Partners,Friends: Season 7: The One with the Nap Partners,True,Season 7,Friends,FriendsSeason 7,Series,Series,1,,0.366666667,22,,1,1
3/17/2015,"March 17, 2015",2015,2015,The One with Chandler's Dad,Friends: Season 7: The One with Chandler's Dad,True,Season 7,Friends,FriendsSeason 7,Series,Series,1,,0.366666667,22,,1,1
3/17/2015,"March 17, 2015",2015,2015,The One with Joey's Award,Friends: Season 7: The One with Joey's Award,True,Season 7,Friends,FriendsSeason 7,Series,Series,1,,0.366666667,22,,1,1
3/17/2015,"March 17, 2015",2015,2015,The One with Joey's New Brain,Friends: Season 7: The One with Joey's New Brain,True,Season 7,Friends,FriendsSeason 7,Series,Series,1,,0.366666667,22,,1,1
3/17/2015,"March 17, 2015",2015,2015,The One with Rachel's Big Kiss,Friends: Season 7: The One with Rachel's Big Kiss,True,Season 7,Friends,FriendsSeason 7,Series,Series,1,,0.366666667,22,,1,1
3/17/2015,"March 17, 2015",2015,2015,The One with Ross and Monica's Cousin,Friends: Season 7: The One with Ross and Monica's Cousin,True,Season 7,Friends,FriendsSeason 7,Series,Series,1,,0.366666667,22,,1,1
3/17/2015,"March 17, 2015",2015,2015,The One with the Cheap Wedding Dress,Friends: Season 7: The One with the Cheap Wedding Dress,True,Season 7,Friends,FriendsSeason 7,Series,Series,1,,0.366666667,22,,1,1
3/17/2015,"March 17, 2015",2015,2015,The One with the Truth About London,Friends: Season 7: The One with the Truth About London,True,Season 7,Friends,FriendsSeason 7,Series,Series,1,,0.366666667,22,,1,1
3/17/2015,"March 17, 2015",2015,2015,The One with the Vows,Friends: Season 7: The One with the Vows,True,Season 7,Friends,FriendsSeason 7,Series,Series,1,,0.366666667,22,,1,1
3/18/2015,"March 18, 2015",2015,2015,The One with Chandler and Monica's Wedding,Friends: Season 7: The One with Chandler and Monica's Wedding: Part 2,True,Season 7,Friends,FriendsSeason 7,Series,Series,1,,0.366666667,22,,1,1
3/18/2015,"March 18, 2015",2015,2015,Kimmy Goes Outside!,Unbreakable Kimmy Schmidt: Season 1: Kimmy Goes Outside!,True,Season 1,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 1,Series,Series,1,,0.466666667,28,,1,1
3/18/2015,"March 18, 2015",2015,2015,The One with Chandler and Monica's Wedding,Friends: Season 7: The One with Chandler and Monica's Wedding: Part 1,True,Season 7,Friends,FriendsSeason 7,Series,Series,1,,0.366666667,22,,1,1
3/18/2015,"March 18, 2015",2015,2015,The One with Rachel's Book,Friends: Season 7: The One with Rachel's Book,True,Season 7,Friends,FriendsSeason 7,Series,Series,1,,0.366666667,22,,1,1
3/19/2015,"March 19, 2015",2015,2015,The One After I Do,Friends: Season 8: The One After I Do,True,Season 8,Friends,FriendsSeason 8,Series,Series,1,,0.366666667,22,,1,1
3/19/2015,"March 19, 2015",2015,2015,Kimmy Gets a Job!,Unbreakable Kimmy Schmidt: Season 1: Kimmy Gets a Job!,True,Season 1,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 1,Series,Series,1,,0.466666667,28,,1,1
3/19/2015,"March 19, 2015",2015,2015,Kimmy Goes on a Date!,Unbreakable Kimmy Schmidt: Season 1: Kimmy Goes on a Date!,True,Season 1,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 1,Series,Series,1,,0.466666667,28,,1,1
3/20/2015,"March 20, 2015",2015,2015,The One Where Rachel Tells ...,Friends: Season 8: The One Where Rachel Tells ...,True,Season 8,Friends,FriendsSeason 8,Series,Series,1,,0.366666667,22,,1,1
3/20/2015,"March 20, 2015",2015,2015,The One with Rachel's Date,Friends: Season 8: The One with Rachel's Date,True,Season 8,Friends,FriendsSeason 8,Series,Series,1,,0.366666667,22,,1,1
3/20/2015,"March 20, 2015",2015,2015,The One with the Halloween Party,Friends: Season 8: The One with the Halloween Party,True,Season 8,Friends,FriendsSeason 8,Series,Series,1,,0.366666667,22,,1,1
3/20/2015,"March 20, 2015",2015,2015,The One with the Red Sweater,Friends: Season 8: The One with the Red Sweater,True,Season 8,Friends,FriendsSeason 8,Series,Series,1,,0.366666667,22,,1,1
3/20/2015,"March 20, 2015",2015,2015,The One with the Stain,Friends: Season 8: The One with the Stain,True,Season 8,Friends,FriendsSeason 8,Series,Series,1,,0.366666667,22,,1,1
3/23/2015,"March 23, 2015",2015,2015,Kimmy Goes to the Doctor!,Unbreakable Kimmy Schmidt: Season 1: Kimmy Goes to the Doctor!,True,Season 1,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 1,Series,Series,1,,0.466666667,28,,1,1
3/24/2015,"March 24, 2015",2015,2015,The One with Monica's Boots,Friends: Season 8: The One with Monica's Boots,True,Season 8,Friends,FriendsSeason 8,Series,Series,1,,0.366666667,22,,1,1
3/24/2015,"March 24, 2015",2015,2015,The One with the Stripper,Friends: Season 8: The One with the Stripper,True,Season 8,Friends,FriendsSeason 8,Series,Series,1,,0.366666667,22,,1,1
3/24/2015,"March 24, 2015",2015,2015,Kimmy Kisses a Boy!,Unbreakable Kimmy Schmidt: Season 1: Kimmy Kisses a Boy!,True,Season 1,Unbreakable Kimmy Schmidt,Unbreakable Kimmy SchmidtSeason 1,Series,Series,1,,0.466666667,28,,1,1
